No.,Business Name,Owner / Contact,Trade,Mobile,Landline,Email,Area / Address,Facebook,Website Status,Main Sell Point
11,MP Decor Dublin,Martin,Painter & Decorator,089 452 2417,,martinpaintingservices@gmail.com,Dublin 3,facebook.com/mpdecordublin/,NO WEBSITE,Interior painting specialist with no website. Missing all non-Facebook leads. Before/after gallery would win jobs.
12,Dalkey Painter & Decorator,,Painter & Decorator,085 152 0883,,,106 St Begnets Villas - Dalkey,,NO WEBSITE,"Dalkey is premium market — homeowners expect to find tradespeople online. Missing high-value renovation jobs."
13,Jonathan Lewins Plastering Co.,Jonathan Lewins,Plasterer,086 848 2752,,,10 Rollings Court - Sallynoggin - Dun Laoghaire,,NO WEBSITE,"27 years in business, no web presence. A professional page would be his single biggest lead generator."
14,Flemings of Dun Laoghaire,Fleming,Roofer,,01 280 2289,,"19 Crosthwaite Park West, Dun Laoghaire",,NO WEBSITE,"Emergency roof repairs = urgent Google searches. No website means he's losing these high-value calls."
15,Grange Electrical & Security Systems,,Electrician / Security,,01 963 6636,,"66 Meadowvale, Blackrock",,NO WEBSITE,Security systems and electrical — two high-value trades with no website. Missing commercial and residential leads.
16,Dalkey Woodcraft Design,,Carpenter / Builder,087 236 0514,,,Co. Dublin - Dalkey area,,NO WEBSITE,"Bespoke carpentry in Dalkey — wealthy clients expect to see a portfolio. Losing jobs because they can't find him."
17,Tully Builders,,Builder,,01 452 0866,,"13 Kiltalown Close, Tallaght D24",,NO WEBSITE,Phone-only builder. Missing homeowners searching Google for builders in Tallaght for extensions and renovations.
18,Harding Builders,,Builder,,01 459 8870,,"21a Elmcastle Park, Tallaght D24",,NO WEBSITE,Directory-only presence. No photos, no testimonials, no way for new customers to find or vet them online.
19,Cormac Building Contractors,,Builder,,01 205 1193,,"Nutgrove Retail Park, Rathfarnham D14",,NO WEBSITE,Rathfarnham builder with no website. Missing all organic search traffic for builders in D14/D16 area.
20,The Green Keeper,Ian Lawless,Gardener / Landscaper,086 874 6804,,ianthegreenkeeper@gmail.com,"Cabinteely, D18",facebook.com/thegreenkeeperdublin/,Basic Wix page only,"Has Wix page but it's not professional. Foxrock/Killiney mansions = big landscaping contracts. Upgrade pitch: 'let us build you a proper one.'"
21,Blackrock Power Washing,Brian,Power Washing,087 965 4044,,,Blackrock,facebook.com (search: Blackrock Power Washing),NO WEBSITE,"Seasonal demand — spring/summer = peak. No website means missing the surge in 'power washing near me' searches."
22,Elite Power Washing Service,,Power Washing,085 122 2517,,,Blackrock,,NO WEBSITE,Golden Pages only. Missing all Google traffic for power washing in the Blackrock/Dun Laoghaire area.
23,Power & Blast Washing,,Power Washing / Garden Maintenance,085 118 8081,,,"4-5 Burton Hall Road, Sandyford, Dublin 18",,NO WEBSITE,"Sandyford / D18 coverage — upscale driveways, patios. Missing all online leads."
24,Ashton Electrics,,Electrician,087 702 4314,,,"16 Carriglea Avenue, Dun Laoghaire",,NO WEBSITE,"Dun Laoghaire residential electrician, no website. Missing all search traffic for electrician in the area."
25,Mark Hennessy Electrical,Mark Hennessy,Electrician,085 216 4131,,,"60 Oliver Plunkett Avenue, Dun Laoghaire",,NO WEBSITE,Directory listing only. No website = invisible to anyone not already referred by word of mouth.
26,Patrick Curley Electrical,Patrick Curley,Electrician,087 741 1160,,,"Honey Park, Dun Laoghaire",,NO WEBSITE,Phone-only electrician in Dun Laoghaire. Missing every customer who searches before calling.
27,Sean Smith Electrical,Sean Smith,Electrician,087 152 0355,,,"9 Fitzgerald Park, Mounttown, Dun Laoghaire",,NO WEBSITE,Local Mounttown/Dun Laoghaire electrician — no website means he relies entirely on neighbour referrals.
28,Dun Laoghaire Glass,,Glazier,,01 280 9946,,"4 Wellington Street, Dun Laoghaire",,NO WEBSITE,"Glass repairs = emergency callouts. No website means missing urgent search traffic: 'broken window Dun Laoghaire.'"
29,Gas Repairs & Services Ltd,Dennis Joyce,Gas / Heating,,,,8 Coolnevaun - Stillorgan - Dublin 18,,NO WEBSITE (directory only),"Ex-Bord Gáis engineer — massive credibility that's invisible online. Stillorgan homeowners can't find him on Google."
30,E.C. Plumbing & Contracting,,Plumber / Multi-trade,,,,"South Dublin - Tallaght",facebook.com/p/EC-Plumbing-Contracting-100076081171293/,NO WEBSITE,Facebook only. No phone published — message on FB. Multi-trade = multiple services to promote online.
31,Blackrock Handyman,Peter & Alex,Handyman / Carpenter,,,,"Blackrock, South Dublin",facebook.com/Blackrockhandyman/,NO WEBSITE,"Active FB page but no website. Blackrock = premium handyman work. Missing all Google leads for flat pack, carpentry, tiling."
32,Mahon Blackrock Handyman,,Handyman,,,,"Blackrock, South Dublin",facebook.com/mahonblackeock.handyman/,NO WEBSITE,Facebook-only handyman in Blackrock. No phone published — message via FB. Easy pitch: 'one page, phone number, done.'
33,A&D Handyman,,Handyman,,,,"Dublin (South Dublin)",facebook.com/Adhandymandublin/,NO WEBSITE,"4100+ FB likes — big following, no website. Huge missed opportunity to convert followers into Google-search customers."
34,Nick The Plasterer,,Plasterer,,,,"Dublin",facebook.com/NickThePlasterer/,NO WEBSITE,"Active FB plasterer, no website. Missing all Google search traffic for plasterer in south Dublin."
35,Noel Lyons Plumbing,Noel Lyons,Plumber,,,,3 Longford Villas - Sallynoggin - Dun Laoghaire,,NO WEBSITE,Sallynoggin plumber — directory listing only. Phone available via Golden Pages. No website found anywhere.
36,Dundrum Plumbing Services,,Plumber,087 384 5511,,,Dundrum - Dublin 16,facebook.com/p/Dundrum-Plumbing-Services-100049169686154/,NO WEBSITE,"Facebook-only plumber in Dundrum. Busy residential area — missing homeowners who Google 'plumber near me' before calling."
37,D4 Plumbing & Heating,,Plumber / Heating,086 394 7821,,,Dublin 4,facebook.com/p/D4-Plumbing-Heating-100064092162748/,NO WEBSITE,"D4 = premium postcodes, premium jobs. Facebook-only means missing the surge in boiler service searches every winter."
38,Churchtown Electrical,,Electrician,,01 296 0659,,12 Mountainview Drive - Rathfarnham - Dublin 14,,NO WEBSITE,"Landline-only electrician in Churchtown — no mobile, no website. Completely invisible to anyone under 40 searching online."
39,PHM Dublin,,Plumber,086 191 2847,,,South Dublin,facebook.com/PHMDublin/,NO WEBSITE,"20 years' experience, Facebook-only. No website = missing every homeowner who searches Google before picking up the phone."
40,Kevin Moran Tiling,Kevin Moran,Tiler,087 443 9012,,kevinmorantiling@gmail.com,Terenure - Dublin 6W,,NO WEBSITE,"Has an email but no website. Tiling is highly visual — a gallery page of his work would win him jobs immediately."
41,Rathmines Electrical Contractors,,Electrician,086 311 7246,01 497 8833,,14 Grosvenor Road - Rathmines - Dublin 6,,NO WEBSITE,"Rathmines = dense residential area with constant rewire and fuse board upgrades. No website = invisible to new arrivals."
42,Coleman Painting & Decorating,Brian Coleman,Painter & Decorator,087 218 5403,,briancoleman.dec@gmail.com,Ranelagh - Dublin 6,,NO WEBSITE,"Ranelagh redbrick landlords repaint between tenancies. A simple gallery page would have him booked 3 months out."
43,Cabra Roofing & Guttering,,Roofer,085 879 3162,01 838 6241,,44 Fassaugh Avenue - Cabra - Dublin 7,,NO WEBSITE,"Emergency roof leaks = urgent Google searches. No website means losing every callout to a competitor with a local ranking page."
44,Nolan Joinery & Carpentry,Declan Nolan,Carpenter,086 724 5991,,declan.nolan.joinery@gmail.com,17 Iona Road - Glasnevin - Dublin 11,,NO WEBSITE,"Fitted wardrobes and staircases — high ticket value jobs. A portfolio site would be his single best sales tool."
45,Artane Plumbing Services,Jim Whelan,Plumber,087 562 8034,01 831 6420,,6 Thorndale Grove - Artane - Dublin 5,,NO WEBSITE,"North Dublin residential plumber, 18 years' experience. Relies on word of mouth — missing the digital generation of homeowners."
46,Clontarf Electrical,Darren Brennan,Electrician,086 943 1178,,darren.clontarfelec@gmail.com,Clontarf - Dublin 3,,NO WEBSITE,"Clontarf and Raheny area — lots of older housing stock needing rewires. No website = every Google search goes to a competitor."
47,Walsh Painting & Decorating,Tommy Walsh,Painter & Decorator,085 671 2843,,,Fairview - Dublin 3,facebook.com/p/Walsh-Painting-Decorating-Dublin-100063721948765/,NO WEBSITE,"20+ years painting northside Dublin. Has Facebook but no website — losing every landlord and estate who searches online first."
48,Drimnagh Tiling & Bathrooms,,Tiler,087 334 7025,01 454 9813,,9 Drimnagh Road - Dublin 12,,NO WEBSITE,"Bathroom renovations = high-value jobs. A before/after photo page would sell this service itself. Currently invisible online."
49,Lucan Handyman Services,Mick Farrell,Handyman,086 183 6751,,mickfarrellhandyman@gmail.com,Lucan - Co. Dublin,facebook.com/LucanHandyman/,NO WEBSITE,"Covers all of West Dublin. Big growing population with new estates. No website = invisible to the thousands who just moved in."
50,Castleknock Gas & Heating,Pat Dempsey,Gas Fitter / Heating,087 806 1342,,,Castleknock - Dublin 15,,NO WEBSITE,"Gas safety checks and boiler servicing in one of Dublin's fastest-growing suburbs. Zero online presence — losing annual service customers."
